"Population"	"Units"	"Date"	"Area/Population Densit"	"geogcode"	"Rural Urban"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Urban (total)"	"number"	92363	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Urban city and town"	"number"	92363	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural (total)"	"number"	13201	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural town and fringe"	"number"	7770	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural village"	"number"	3742	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural hamlet and isolated dwellings"	"number"	1689	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000005"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Urban (total)"	"number"	281825	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Urban major conurbation"	"number"	39407	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Urban city and town"	"number"	242418	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural (total)"	"number"	231417	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural town and fringe"	"number"	177952	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural town and fringe in a sparse setting"	"number"	244	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural village"	"number"	33544	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural village in a sparse setting"	"number"	2424	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural hamlet and isolated dwellings"	"number"	15348	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000047"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	1905	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Urban (total)"	"number"	88855	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Urban city and town"	"number"	88855	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural (total)"	"number"	3173	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural town and fringe"	"number"	742	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural village"	"number"	1539	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural hamlet and isolated dwellings"	"number"	892	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000001"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Urban (total)"	"number"	137455	""
