"Date"	"Gender"	"geogcode"	"Age"	"value type"	"value"	"flag"
"2011"	"Male"	"E06000005"	"Aged 60-64"	"number"	3284	""
"2011"	"Male"	"E06000005"	"Aged 65-69"	"number"	2631	""
"2011"	"Male"	"E06000005"	"Aged 70-74"	"number"	2106	""
"2011"	"Male"	"E06000005"	"Aged 75-79"	"number"	1611	""
"2011"	"Male"	"E06000005"	"Aged 80-84"	"number"	1051	""
"2011"	"Male"	"E06000005"	"Age 85"	"number"	178	""
"2011"	"Male"	"E06000005"	"Age 86"	"number"	146	""
"2011"	"Male"	"E06000005"	"Age 87"	"number"	118	""
"2011"	"Male"	"E06000005"	"Age 88"	"number"	79	""
"2011"	"Male"	"E06000005"	"Age 89"	"number"	94	""
"2011"	"Male"	"E06000005"	"Aged 90+"	"number"	219	""
"2011"	"Male"	"E06000047"	"Aged 60-64"	"number"	17403	""
"2011"	"Male"	"E06000047"	"Aged 65-69"	"number"	13876	""
"2011"	"Male"	"E06000047"	"Aged 70-74"	"number"	10878	""
"2011"	"Male"	"E06000047"	"Aged 75-79"	"number"	8136	""
"2011"	"Male"	"E06000047"	"Aged 80-84"	"number"	5265	""
"2011"	"Male"	"E06000047"	"Age 85"	"number"	756	""
"2011"	"Male"	"E06000047"	"Age 86"	"number"	598	""
"2011"	"Male"	"E06000047"	"Age 87"	"number"	522	""
"2011"	"Male"	"E06000047"	"Age 88"	"number"	412	""
"2011"	"Male"	"E06000047"	"Age 89"	"number"	364	""
"2011"	"Male"	"E06000047"	"Aged 90+"	"number"	927	""
"2011"	"Male"	"E06000001"	"Aged 60-64"	"number"	2898	""
"2011"	"Male"	"E06000001"	"Aged 65-69"	"number"	2136	""
"2011"	"Male"	"E06000001"	"Aged 70-74"	"number"	1775	""
"2011"	"Male"	"E06000001"	"Aged 75-79"	"number"	1470	""
"2011"	"Male"	"E06000001"	"Aged 80-84"	"number"	935	""
"2011"	"Male"	"E06000001"	"Age 85"	"number"	153	""
"2011"	"Male"	"E06000001"	"Age 86"	"number"	104	""
"2011"	"Male"	"E06000001"	"Age 87"	"number"	87	""
"2011"	"Male"	"E06000001"	"Age 88"	"number"	71	""
"2011"	"Male"	"E06000001"	"Age 89"	"number"	60	""
"2011"	"Male"	"E06000001"	"Aged 90+"	"number"	136	""
"2011"	"Male"	"E06000002"	"Aged 60-64"	"number"	3744	""
"2011"	"Male"	"E06000002"	"Aged 65-69"	"number"	2830	""
"2011"	"Male"	"E06000002"	"Aged 70-74"	"number"	2385	""
"2011"	"Male"	"E06000002"	"Aged 75-79"	"number"	1868	""
"2011"	"Male"	"E06000002"	"Aged 80-84"	"number"	1278	""
"2011"	"Male"	"E06000002"	"Age 85"	"number"	180	""
"2011"	"Male"	"E06000002"	"Age 86"	"number"	143	""
"2011"	"Male"	"E06000002"	"Age 87"	"number"	100	""
"2011"	"Male"	"E06000002"	"Age 88"	"number"	82	""
"2011"	"Male"	"E06000002"	"Age 89"	"number"	85	""
"2011"	"Male"	"E06000002"	"Aged 90+"	"number"	211	""
"2011"	"Male"	"E06000057"	"Aged 60-64"	"number"	11897	""
"2011"	"Male"	"E06000057"	"Aged 65-69"	"number"	9567	""
"2011"	"Male"	"E06000057"	"Aged 70-74"	"number"	7188	""
"2011"	"Male"	"E06000057"	"Aged 75-79"	"number"	5766	""
"2011"	"Male"	"E06000057"	"Aged 80-84"	"number"	3665	""
"2011"	"Male"	"E06000057"	"Age 85"	"number"	563	""
"2011"	"Male"	"E06000057"	"Age 86"	"number"	448	""
"2011"	"Male"	"E06000057"	"Age 87"	"number"	388	""
"2011"	"Male"	"E06000057"	"Age 88"	"number"	277	""
"2011"	"Male"	"E06000057"	"Age 89"	"number"	253	""
"2011"	"Male"	"E06000057"	"Aged 90+"	"number"	764	""
"2011"	"Male"	"E06000003"	"Aged 60-64"	"number"	4579	""
"2011"	"Male"	"E06000003"	"Aged 65-69"	"number"	3862	""
"2011"	"Male"	"E06000003"	"Aged 70-74"	"number"	3148	""
"2011"	"Male"	"E06000003"	"Aged 75-79"	"number"	2306	""
"2011"	"Male"	"E06000003"	"Aged 80-84"	"number"	1542	""
"2011"	"Male"	"E06000003"	"Age 85"	"number"	232	""
"2011"	"Male"	"E06000003"	"Age 86"	"number"	183	""
"2011"	"Male"	"E06000003"	"Age 87"	"number"	148	""
"2011"	"Male"	"E06000003"	"Age 88"	"number"	123	""
"2011"	"Male"	"E06000003"	"Age 89"	"number"	98	""
"2011"	"Male"	"E06000003"	"Aged 90+"	"number"	259	""
"2011"	"Male"	"E06000004"	"Aged 60-64"	"number"	5692	""
"2011"	"Male"	"E06000004"	"Aged 65-69"	"number"	4350	""
"2011"	"Male"	"E06000004"	"Aged 70-74"	"number"	3473	""
"2011"	"Male"	"E06000004"	"Aged 75-79"	"number"	2739	""
"2011"	"Male"	"E06000004"	"Aged 80-84"	"number"	1741	""
"2011"	"Male"	"E06000004"	"Age 85"	"number"	217	""
"2011"	"Male"	"E06000004"	"Age 86"	"number"	201	""
"2011"	"Male"	"E06000004"	"Age 87"	"number"	184	""
"2011"	"Male"	"E06000004"	"Age 88"	"number"	142	""
"2011"	"Male"	"E06000004"	"Age 89"	"number"	102	""
"2011"	"Male"	"E06000004"	"Aged 90+"	"number"	295	""
"2011"	"Male"	"E08000037"	"Aged 60-64"	"number"	6177	""
"2011"	"Male"	"E08000037"	"Aged 65-69"	"number"	4655	""
"2011"	"Male"	"E08000037"	"Aged 70-74"	"number"	4214	""
"2011"	"Male"	"E08000037"	"Aged 75-79"	"number"	3279	""
"2011"	"Male"	"E08000037"	"Aged 80-84"	"number"	2109	""
"2011"	"Male"	"E08000037"	"Age 85"	"number"	342	""
"2011"	"Male"	"E08000037"	"Age 86"	"number"	269	""
"2011"	"Male"	"E08000037"	"Age 87"	"number"	191	""
"2011"	"Male"	"E08000037"	"Age 88"	"number"	159	""
"2011"	"Male"	"E08000037"	"Age 89"	"number"	140	""
"2011"	"Male"	"E08000037"	"Aged 90+"	"number"	351	""
"2011"	"Male"	"E08000021"	"Aged 60-64"	"number"	7214	""
"2011"	"Male"	"E08000021"	"Aged 65-69"	"number"	5166	""
"2011"	"Male"	"E08000021"	"Aged 70-74"	"number"	4093	""
"2011"	"Male"	"E08000021"	"Aged 75-79"	"number"	3492	""
"2011"	"Male"	"E08000021"	"Aged 80-84"	"number"	2396	""
"2011"	"Male"	"E08000021"	"Age 85"	"number"	328	""
"2011"	"Male"	"E08000021"	"Age 86"	"number"	284	""
"2011"	"Male"	"E08000021"	"Age 87"	"number"	222	""
"2011"	"Male"	"E08000021"	"Age 88"	"number"	221	""
"2011"	"Male"	"E08000021"	"Age 89"	"number"	168	""
"2011"	"Male"	"E08000021"	"Aged 90+"	"number"	499	""
"2011"	"Male"	"E08000022"	"Aged 60-64"	"number"	6345	""
"2011"	"Male"	"E08000022"	"Aged 65-69"	"number"	4805	""
"2011"	"Male"	"E08000022"	"Aged 70-74"	"number"	3728	""
"2011"	"Male"	"E08000022"	"Aged 75-79"	"number"	3147	""
"2011"	"Male"	"E08000022"	"Aged 80-84"	"number"	2077	""
"2011"	"Male"	"E08000022"	"Age 85"	"number"	276	""
"2011"	"Male"	"E08000022"	"Age 86"	"number"	232	""
"2011"	"Male"	"E08000022"	"Age 87"	"number"	216	""
"2011"	"Male"	"E08000022"	"Age 88"	"number"	174	""
"2011"	"Male"	"E08000022"	"Age 89"	"number"	154	""
"2011"	"Male"	"E08000022"	"Aged 90+"	"number"	400	""
"2011"	"Male"	"E08000023"	"Aged 60-64"	"number"	4783	""
"2011"	"Male"	"E08000023"	"Aged 65-69"	"number"	3498	""
"2011"	"Male"	"E08000023"	"Aged 70-74"	"number"	2958	""
"2011"	"Male"	"E08000023"	"Aged 75-79"	"number"	2359	""
"2011"	"Male"	"E08000023"	"Aged 80-84"	"number"	1566	""
"2011"	"Male"	"E08000023"	"Age 85"	"number"	213	""
"2011"	"Male"	"E08000023"	"Age 86"	"number"	177	""
"2011"	"Male"	"E08000023"	"Age 87"	"number"	158	""
"2011"	"Male"	"E08000023"	"Age 88"	"number"	134	""
"2011"	"Male"	"E08000023"	"Age 89"	"number"	128	""
"2011"	"Male"	"E08000023"	"Aged 90+"	"number"	286	""
"2011"	"Male"	"E08000024"	"Aged 60-64"	"number"	8683	""
"2011"	"Male"	"E08000024"	"Aged 65-69"	"number"	6359	""
"2011"	"Male"	"E08000024"	"Aged 70-74"	"number"	5353	""
"2011"	"Male"	"E08000024"	"Aged 75-79"	"number"	4253	""
"2011"	"Male"	"E08000024"	"Aged 80-84"	"number"	2748	""
"2011"	"Male"	"E08000024"	"Age 85"	"number"	340	""
"2011"	"Male"	"E08000024"	"Age 86"	"number"	265	""
"2011"	"Male"	"E08000024"	"Age 87"	"number"	251	""
"2011"	"Male"	"E08000024"	"Age 88"	"number"	209	""
"2011"	"Male"	"E08000024"	"Age 89"	"number"	170	""
"2011"	"Male"	"E08000024"	"Aged 90+"	"number"	423	""
"2011"	"Male"	"E06000008"	"Aged 60-64"	"number"	4013	""
"2011"	"Male"	"E06000008"	"Aged 65-69"	"number"	2850	""
"2011"	"Male"	"E06000008"	"Aged 70-74"	"number"	2229	""
"2011"	"Male"	"E06000008"	"Aged 75-79"	"number"	1688	""
"2011"	"Male"	"E06000008"	"Aged 80-84"	"number"	1085	""
"2011"	"Male"	"E06000008"	"Age 85"	"number"	143	""
"2011"	"Male"	"E06000008"	"Age 86"	"number"	108	""
"2011"	"Male"	"E06000008"	"Age 87"	"number"	91	""
"2011"	"Male"	"E06000008"	"Age 88"	"number"	91	""
"2011"	"Male"	"E06000008"	"Age 89"	"number"	70	""
"2011"	"Male"	"E06000008"	"Aged 90+"	"number"	222	""
"2011"	"Male"	"E06000009"	"Aged 60-64"	"number"	4686	""
"2011"	"Male"	"E06000009"	"Aged 65-69"	"number"	3868	""
"2011"	"Male"	"E06000009"	"Aged 70-74"	"number"	3103	""
"2011"	"Male"	"E06000009"	"Aged 75-79"	"number"	2325	""
"2011"	"Male"	"E06000009"	"Aged 80-84"	"number"	1569	""
"2011"	"Male"	"E06000009"	"Age 85"	"number"	238	""
"2011"	"Male"	"E06000009"	"Age 86"	"number"	185	""
"2011"	"Male"	"E06000009"	"Age 87"	"number"	143	""
"2011"	"Male"	"E06000009"	"Age 88"	"number"	126	""
"2011"	"Male"	"E06000009"	"Age 89"	"number"	124	""
"2011"	"Male"	"E06000009"	"Aged 90+"	"number"	350	""
"2011"	"Male"	"E06000049"	"Aged 60-64"	"number"	12992	""
"2011"	"Male"	"E06000049"	"Aged 65-69"	"number"	10558	""
"2011"	"Male"	"E06000049"	"Aged 70-74"	"number"	8079	""
"2011"	"Male"	"E06000049"	"Aged 75-79"	"number"	6211	""
"2011"	"Male"	"E06000049"	"Aged 80-84"	"number"	4282	""
"2011"	"Male"	"E06000049"	"Age 85"	"number"	619	""
"2011"	"Male"	"E06000049"	"Age 86"	"number"	494	""
"2011"	"Male"	"E06000049"	"Age 87"	"number"	460	""
"2011"	"Male"	"E06000049"	"Age 88"	"number"	402	""
"2011"	"Male"	"E06000049"	"Age 89"	"number"	337	""
"2011"	"Male"	"E06000049"	"Aged 90+"	"number"	916	""
"2011"	"Male"	"E06000050"	"Aged 60-64"	"number"	11227	""
"2011"	"Male"	"E06000050"	"Aged 65-69"	"number"	8963	""
"2011"	"Male"	"E06000050"	"Aged 70-74"	"number"	7056	""
"2011"	"Male"	"E06000050"	"Aged 75-79"	"number"	5283	""
"2011"	"Male"	"E06000050"	"Aged 80-84"	"number"	3732	""
"2011"	"Male"	"E06000050"	"Age 85"	"number"	511	""
"2011"	"Male"	"E06000050"	"Age 86"	"number"	418	""
"2011"	"Male"	"E06000050"	"Age 87"	"number"	351	""
"2011"	"Male"	"E06000050"	"Age 88"	"number"	315	""
"2011"	"Male"	"E06000050"	"Age 89"	"number"	257	""
"2011"	"Male"	"E06000050"	"Aged 90+"	"number"	753	""
"2011"	"Male"	"E06000006"	"Aged 60-64"	"number"	4312	""
"2011"	"Male"	"E06000006"	"Aged 65-69"	"number"	2895	""
"2011"	"Male"	"E06000006"	"Aged 70-74"	"number"	2161	""
"2011"	"Male"	"E06000006"	"Aged 75-79"	"number"	1574	""
"2011"	"Male"	"E06000006"	"Aged 80-84"	"number"	1088	""
"2011"	"Male"	"E06000006"	"Age 85"	"number"	133	""
