"Year" "Geo" "Age" "Sex" "Pop"
2015 1001 "60" 1 2308
2015 1001 "60" 2 2487
2015 1001 "65" 1 2127
2015 1001 "65" 2 2341
2015 1001 "70" 1 1915
2015 1001 "70" 2 2229
2015 1001 "75" 1 2016
2015 1001 "75" 2 2465
2015 1001 "80" 1 928
2015 1001 "80" 2 1428
2015 1001 "85" 1 440
2015 1001 "85" 2 894
2015 1001 "90" 1 167
2015 1001 "90" 2 626
2015 1002 "60" 1 6132
2015 1002 "60" 2 6648
2015 1002 "65" 1 5509
2015 1002 "65" 2 5938
2015 1002 "70" 1 5172
2015 1002 "70" 2 5959
2015 1002 "75" 1 4831
2015 1002 "75" 2 6167
2015 1002 "80" 1 2289
2015 1002 "80" 2 3666
2015 1002 "85" 1 1094
2015 1002 "85" 2 2473
2015 1002 "90" 1 470
2015 1002 "90" 2 1646
2015 1003 "60" 1 5832
2015 1003 "60" 2 6736
2015 1003 "65" 1 5637
2015 1003 "65" 2 6451
2015 1003 "70" 1 5217
2015 1003 "70" 2 6482
2015 1003 "75" 1 5329
2015 1003 "75" 2 7025
2015 1003 "80" 1 2761
2015 1003 "80" 2 4258
2015 1003 "85" 1 1335
2015 1003 "85" 2 3024
2015 1003 "90" 1 551
2015 1003 "90" 2 1882
2015 1004 "60" 1 2278
2015 1004 "60" 2 2463
2015 1004 "65" 1 2089
2015 1004 "65" 2 2244
2015 1004 "70" 1 1939
2015 1004 "70" 2 2249
2015 1004 "75" 1 2020
2015 1004 "75" 2 2523
2015 1004 "80" 1 924
2015 1004 "80" 2 1530
2015 1004 "85" 1 450
2015 1004 "85" 2 1004
2015 1004 "90" 1 188
2015 1004 "90" 2 570
2015 1051 "60" 1 4460
2015 1051 "60" 2 4612
2015 1051 "65" 1 4103
2015 1051 "65" 2 4230
2015 1051 "70" 1 3610
2015 1051 "70" 2 3821
2015 1051 "75" 1 3757
2015 1051 "75" 2 4314
2015 1051 "80" 1 1817
2015 1051 "80" 2 2601
2015 1051 "85" 1 871
2015 1051 "85" 2 1580
2015 1051 "90" 1 288
2015 1051 "90" 2 963
2015 1053 "60" 1 5858
2015 1053 "60" 2 5777
2015 1053 "65" 1 5016
2015 1053 "65" 2 5469
2015 1053 "70" 1 4706
2015 1053 "70" 2 5305
2015 1053 "75" 1 4973
2015 1053 "75" 2 5810
2015 1053 "80" 1 2521
2015 1053 "80" 2 3578
